src_sec_id,match_text,match_kind,span_start,span_end,norm_token
§408.110,§ 408.202,single,1412,1421,§408.202
§408.110,§ 408.204,single,1492,1501,§408.204
§408.201,§ 408.202,single,65,74,§408.202
§408.201,§ 408.204,single,115,124,§408.204
§408.201,§ 408.202,single,561,570,§408.202
§408.201,§ 404.204,single,654,663,§404.204
§408.202,§ 408.216,single,253,262,§408.216
§408.202,§ 408.218,single,325,334,§408.218
§408.202,§ 408.220,single,648,657,§408.220
§408.204,§ 408.202,single,73,82,§408.202
§408.206,§ 408.202,single,338,347,§408.202
§408.206,§ 408.204,single,387,396,§408.204
§408.206,§ 408.202,single,560,569,§408.202
§408.206,§ 408.204,single,610,619,§408.204
§408.212,§ 408.202,single,61,70,§408.202
§408.212,§ 408.204,single,111,120,§408.204
§408.218,§ 416.1340,single,386,396,§416.1340
§408.220,§ 408.224(e),single,1932,1944,§408.224(e)
§408.222,§ 408.505,single,187,196,§408.505
§408.222,§ 408.510,single,354,363,§408.510
§408.222,§ 408.510,single,622,631,§408.510
§408.226,§ 408.220(b),single,270,282,§408.220(b)
§408.230,§ 408.206,single,265,274,§408.206
§408.232,§ 408.234,single,187,196,§408.234
§408.310,§ 408.325,single,291,300,§408.325
§408.310,§ 408.315,single,397,406,§408.315
§408.325,§§ 408.340,single,922,932,§408.340
§408.325,§ 408.351,single,1069,1078,§408.351
§408.325,§ 408.351(b),single,1147,1159,§408.351(b)
§408.340,§ 408.325,single,46,55,§408.325
§408.340,§ 408.315,single,833,842,§408.315
§408.340,§ 408.310(a),single,919,931,§408.310(a)
§408.340,§ 408.315,single,982,991,§408.315
§408.345,§ 408.315,single,304,313,§408.315
§408.345,§ 408.325(a),single,420,432,§408.325(a)
§408.345,§ 408.315,single,486,495,§408.315
§408.351,§ 408.315,single,1453,1462,§408.315
§408.351,§ 408.315,single,6656,6665,§408.315
§408.355,§ 408.315,single,211,220,§408.315
§408.355,§ 408.325,single,284,293,§408.325
§408.360,§ 408.315,single,213,222,§408.315
§408.360,§ 408.325,single,288,297,§408.325
§408.412,§ 416.802,single,79,88,§416.802
§408.413,§ 416.803,single,67,76,§416.803
§408.420,§ 408.216,single,97,106,§408.216
§408.420,§ 404.1370(b)(1),single,155,171,§404.1370(b)(1)
