sec_id,xml_refs,pdf_refs,overlap,only_xml,only_pdf,precision,recall,f1
§115.5,0,0,0,0,0,1.0,1.0,1.0
§115.6,0,0,0,0,0,1.0,1.0,1.0
§115.10,0,0,0,0,0,1.0,1.0,1.0
§115.11,0,0,0,0,0,1.0,1.0,1.0
§115.12,0,0,0,0,0,1.0,1.0,1.0
§115.13,0,0,0,0,0,1.0,1.0,1.0
§115.14,0,0,0,0,0,1.0,1.0,1.0
§115.15,0,0,0,0,0,1.0,1.0,1.0
§115.16,0,0,0,0,0,1.0,1.0,1.0
§115.17,0,0,0,0,0,1.0,1.0,1.0
§115.18,0,0,0,0,0,1.0,1.0,1.0
§115.21,0,0,0,0,0,1.0,1.0,1.0
§115.22,0,0,0,0,0,1.0,1.0,1.0
§115.31,0,0,0,0,0,1.0,1.0,1.0
§115.32,0,0,0,0,0,1.0,1.0,1.0
§115.33,0,0,0,0,0,1.0,1.0,1.0
§115.34,1,1,1,0,0,1.0,1.0,1.0
§115.35,0,0,0,0,0,1.0,1.0,1.0
§115.41,0,0,0,0,0,1.0,1.0,1.0
§115.42,1,0,0,1,0,0.0,0.0,1.0
§115.43,0,0,0,0,0,1.0,1.0,1.0
§115.51,0,0,0,0,0,1.0,1.0,1.0
§115.52,0,0,0,0,0,1.0,1.0,1.0
§115.53,0,0,0,0,0,1.0,1.0,1.0
§115.54,0,0,0,0,0,1.0,1.0,1.0
§115.61,0,0,0,0,0,1.0,1.0,1.0
§115.62,0,0,0,0,0,1.0,1.0,1.0
§115.63,0,0,0,0,0,1.0,1.0,1.0
§115.64,0,0,0,0,0,1.0,1.0,1.0
§115.65,0,0,0,0,0,1.0,1.0,1.0
§115.66,0,0,0,0,0,1.0,1.0,1.0
§115.67,0,0,0,0,0,1.0,1.0,1.0
§115.68,1,0,0,1,0,0.0,0.0,1.0
§115.71,0,0,0,0,0,1.0,1.0,1.0
§115.72,0,0,0,0,0,1.0,1.0,1.0
§115.73,0,0,0,0,0,1.0,1.0,1.0
§115.76,1,1,1,0,0,1.0,1.0,1.0
§115.77,0,0,0,0,0,1.0,1.0,1.0
§115.78,0,0,0,0,0,1.0,1.0,1.0
§115.81,1,0,0,1,0,0.0,0.0,1.0
§115.82,0,0,0,0,0,1.0,1.0,1.0
§115.83,0,0,0,0,0,1.0,1.0,1.0
§115.86,0,0,0,0,0,1.0,1.0,1.0
§115.87,0,0,0,0,0,1.0,1.0,1.0
§115.88,1,0,0,1,0,0.0,0.0,1.0
§115.89,1,1,1,0,0,1.0,1.0,1.0
§115.93,5,1,1,4,0,1.0,0.2,0.333
§115.95,0,0,0,0,0,1.0,1.0,1.0
§115.110,0,0,0,0,0,1.0,1.0,1.0
§115.111,0,0,0,0,0,1.0,1.0,1.0
§115.112,0,0,0,0,0,1.0,1.0,1.0
§115.113,0,0,0,0,0,1.0,1.0,1.0
§115.114,0,0,0,0,0,1.0,1.0,1.0
§115.115,0,0,0,0,0,1.0,1.0,1.0
§115.116,0,0,0,0,0,1.0,1.0,1.0
§115.117,0,0,0,0,0,1.0,1.0,1.0
§115.118,0,0,0,0,0,1.0,1.0,1.0
§115.121,0,0,0,0,0,1.0,1.0,1.0
§115.122,0,0,0,0,0,1.0,1.0,1.0
§115.131,0,0,0,0,0,1.0,1.0,1.0
§115.132,0,0,0,0,0,1.0,1.0,1.0
§115.133,1,0,0,1,0,0.0,0.0,1.0
§115.134,0,0,0,0,0,1.0,1.0,1.0
§115.141,0,0,0,0,0,1.0,1.0,1.0
§115.151,0,2,0,0,2,0.0,1.0,0.0
§115.152,3,0,0,3,0,0.0,0.0,1.0
§115.154,0,0,0,0,0,1.0,1.0,1.0
§115.161,0,0,0,0,0,1.0,1.0,1.0
§115.162,0,0,0,0,0,1.0,1.0,1.0
§115.163,0,0,0,0,0,1.0,1.0,1.0
§115.164,0,0,0,0,0,1.0,1.0,1.0
§115.165,0,0,0,0,0,1.0,1.0,1.0
§115.166,0,0,0,0,0,1.0,1.0,1.0
§115.167,0,0,0,0,0,1.0,1.0,1.0
§115.171,0,0,0,0,0,1.0,1.0,1.0
§115.172,0,0,0,0,0,1.0,1.0,1.0
§115.176,1,1,1,0,0,1.0,1.0,1.0
§115.177,0,0,0,0,0,1.0,1.0,1.0
§115.181,1,0,0,1,0,0.0,0.0,1.0
§115.182,0,0,0,0,0,1.0,1.0,1.0
§115.186,0,0,0,0,0,1.0,1.0,1.0
§115.187,0,0,0,0,0,1.0,1.0,1.0
§115.188,1,0,0,1,0,0.0,0.0,1.0
§115.189,1,1,1,0,0,1.0,1.0,1.0
§115.193,5,5,5,0,0,1.0,1.0,1.0
§115.195,0,0,0,0,0,1.0,1.0,1.0
§115.201,0,0,0,0,0,1.0,1.0,1.0
§115.202,0,0,0,0,0,1.0,1.0,1.0
§115.203,0,0,0,0,0,1.0,1.0,1.0
§115.204,0,0,0,0,0,1.0,1.0,1.0
§115.205,0,0,0,0,0,1.0,1.0,1.0
